question,option1,option2,option3,option4,answer
Yapay zeka modellerinde eğitim sürecini hızlandırmak için hangi donanım daha önemlidir?,CPU,RAM,GPU,SSD,GPU
Hangisi bir yol bulma algoritmasıdır?,A* Algoritması,Naive Bayes,K-Means,Decision Trees,A* Algoritması
Python'da bilgisayar görüşü uygulamalarında kullanılan en popüler kütüphane hangisidir?,OpenCV,BeautifulSoup,PyTorch,TensorFlow,OpenCV
Flask nedir?,Bir web framework,Bir veri analizi kütüphanesi,Bir IDE,Bir versiyon kontrol sistemi,Bir web framework
Bir görüntüde belirli nesneleri tanımak için kullanılan teknik hangisidir?,Nesne tespiti,Sınıflandırma,Segmentasyon,Renk dönüştürme,Nesne tespiti
Python'da metin verilerini temizlemek ve önişlemek için kullanılan bir yöntem hangisidir?,Tokenization,Normalization,Lemmatization,Hepsi,Hepsi
Bilgisayar görüşünde kullanılan ve görüntüleri küçük parçalara bölerek özellikleri çıkaran yöntem hangisidir?,Convolutional Neural Networks (CNN),Recurrent Neural Networks (RNN),Support Vector Machines (SVM),Decision Trees,Convolutional Neural Networks (CNN)
Python'da bir görüntüyü okuma ve ekranda gösterme işlemi hangi OpenCV fonksiyonları ile yapılır?,cv2.read(), cv2.show(),cv2.imread(), cv2.imshow(),cv2.load(), cv2.display(),cv2.open(), cv2.view(),cv2.imread(), cv2.imshow()
Doğal dil işleme (NLP) alanında metin verilerini işlemek için kullanılan yaygın bir Python kütüphanesi hangisidir?,Numpy,Scipy,NLTK,Matplotlib,NLTK
AI kelimesinin anlamı nedir?,Yapay Zeka,Otomatik Zeka,Otomatik Arayüz,Yapay Arayüz,Yapay Zeka
Yapay zeka geliştirme için yaygın olarak kullanılan programlama dili hangisidir?,Python,JavaScript,HTML,CSS,Python
Python'da bir yapay zeka modelini değerlendirirken hangi metrik, sınıflandırma problemlerinde modelin doğruluğunu ölçmek için kullanılır?,MSE (Mean Squared Error),MAE (Mean Absolute Error),Accuracy,R^2 (R-squared),Accuracy
Aşağıdakilerden hangisi bir yapay zeka alt alanı değildir?,Makine Öğrenimi,Derin Öğrenme,Robotik,HTML,HTML
